File,ExternalFieldName,Type,Length,numdigits,decimals,name
ACTPHY01,B1LWNB,P,6,10,0,Service_Acct_Nbr
ACTPHY01,B1EJCF,A,3,0,0,BEJ_Major_Code
ACTPHY01,B1EKCF,A,4,0,0,BEN_Minor_Code
ACTPHY01,B1N4CD,A,3,0,0,ACT_Service_Type
ACTPHY01,B1IAST,A,1,0,0,ACT_Status
ACTPHY01,B1TVTX,A,20,0,0,ACT_Subscriber_Id
ACTPHY01,B1U2TX,A,55,0,0,ACT_Service_Name
ACTPHY01,B1ZUST,A,1,0,0,ACT_Own_Rent
ACTPHY01,B1ZVST,A,1,0,0,ACT_Other_Adults_w_Access
ACTPHY01,B1T0TX,A,50,0,0,ACT_Business_Classificat
ACTPHY01,B1IUCE,A,2,0,0,ATY_Account_Type
ACTPHY01,B1LKNB,P,6,10,0,CUS_Number
ACTPHY01,B1HXCD,A,3,0,0,Statement_Code
ACTPHY01,B1NANR,P,2,3,0,Sub_Account
ACTPHY01,B1A2DT,P,4,7,0,ACT_Original_Service_Dat
ACTPHY01,B1A5DT,P,4,7,0,ACT_Service_End_Date
ACTPHY01,B1BOTM,P,4,6,0,ACT_Service_End_Time
ACTPHY01,B1HMCD,A,3,0,0,ACT_Disconnect_Reason
ACTPHY01,B1DPTX,A,35,0,0,ACT_In_House_Message
ACTPHY01,B1LXNB,P,5,9,2,ACT_Accum_Amount
ACTPHY01,B1LYNB,P,2,3,0,ACT_Months_Accum
ACTPHY01,B1ICST,A,1,0,0,ACT_Bad_Debt_Status
ACTPHY01,B1IDST,A,1,0,0,ACT_Publish_Code
ACTPHY01,B1DQTX,A,25,0,0,ACT_Contact
ACTPHY01,B1DRTX,A,15,0,0,ACT_Contact_Phone
ACTPHY01,B1IEST,A,1,0,0,ACT_Commission_Indicator
ACTPHY01,B1LZNB,P,3,5,4,ACT_Commission_Percentag
ACTPHY01,B1L1NB,P,6,10,0,ACT_Parent_Acct_Number
ACTPHY01,B1IHST,A,1,0,0,ACT_Bill_Switch
ACTPHY01,B1TONB,P,2,3,0,ACT_Credit_Card_Nbr_1
ACTPHY01,B1BGSS,A,1,0,0,ACT_Credit_Card_Type_1
ACTPHY01,B1TPNB,P,2,3,0,ACT_Credit_Card_Nbr_2
ACTPHY01,B1BFSS,A,1,0,0,ACT_Credit_Card_Type_2
ACTPHY01,B1PMCD,A,3,0,0,ACT_PIN_Usage_1
ACTPHY01,B1PNCD,A,3,0,0,ACT_PIN_Usage_2
ACTPHY01,B1L5CE,A,4,0,0,ACT_PIN_1
ACTPHY01,B1L6CE,A,4,0,0,ACT_PIN_2
ACTPHY01,B1IIST,A,1,0,0,ACT_Joint_Service
ACTPHY01,B1L2NB,P,2,3,0,ACT_Copies_of_Directory
ACTPHY01,B1A6DT,P,4,7,0,ACT_Service_Start_Date
ACTPHY01,B1BTTM,P,4,6,0,ACT_Service_Start_Time
ACTPHY01,B1HOCD,A,3,0,0,ACT_Service_Special_Code
ACTPHY01,B1MBNB,P,5,9,2,Acc_Recv_Total
ACTPHY01,B1MCNB,P,5,9,2,ACT_Acc_Recv_Past_30
ACTPHY01,B1MDNB,P,5,9,2,ACT_Acc_Recv_Past_60
ACTPHY01,B1MENB,P,5,9,2,ACT_Acc_Recv_Past_90
ACTPHY01,B1M7NR,P,5,9,2,ACT_Acc_Recv_Past_120
ACTPHY01,B1M8NR,P,5,9,2,ACT_Acc_Recv_Past_150
ACTPHY01,B1M9NR,P,5,9,2,ACT_Acc_Recv_Past_180
ACTPHY01,B1AMSS,A,1,0,0,ACT_900_Blocking
ACTPHY01,B1ANSS,A,1,0,0,ACT_Intl_Blocking
ACTPHY01,B1TSNB,P,3,5,2,ACT_Exmpt_Amt_Late_Chg
ACTPHY01,B1K0ST,A,1,0,0,ACT_Letter_#3
ACTPHY01,B1K2ST,A,1,0,0,ACT_900_Credit_Given
ACTPHY01,B1CMDT,P,4,7,0,ACT_900_Credit_Date
ACTPHY01,B1TUNB,P,4,7,2,ACT_900_Credit_Amt
ACTPHY01,B1L1ST,A,1,0,0,ACT_Intl_Credit_Given
ACTPHY01,B1CQDT,P,4,7,0,ACT_Intl_Credit_Date
ACTPHY01,B1VVNB,P,5,9,2,ACT_Intl_Credit_Amount
ACTPHY01,B1TVNB,P,2,3,0,ACT_Nbr_Treatments
ACTPHY01,B1M3NR,P,5,9,2,ACT_Unbilled_Minutes
ACTPHY01,B1M4NR,P,4,7,0,ACT_Unbilled_Message
ACTPHY01,B1M5NR,P,5,9,2,ACT_Unbilled_Revenue
ACTPHY01,B1HUVA,P,5,9,2,ACT_Toll_Limit
ACTPHY01,B1HVVA,P,5,9,2,ACT_Debit_Value
ACTPHY01,B1ZCST,A,1,0,0,ACT_Arrears_Advance_Flag
ACTPHY01,B1ZDST,A,1,0,0,ACT_Bill_Toll
ACTPHY01,B1ZEST,A,1,0,0,ACT_Bill_Local_Service
ACTPHY01,B1FKCE,A,4,0,0,ACT_Service_Industry_Code
ACTPHY01,B1ZFST,A,1,0,0,ACT_Wire_Maintenance
ACTPHY01,B1ZGST,A,1,0,0,ACT_Tax_1
ACTPHY01,B1ZHST,A,1,0,0,ACT_Tax_2
ACTPHY01,B1ZIST,A,1,0,0,ACT_Tax_3
ACTPHY01,B1ZJST,A,1,0,0,ACT_Tax_4
ACTPHY01,B1ZKST,A,1,0,0,ACT_Tax_5
ACTPHY01,B1ZLST,A,1,0,0,ACT_Tax_6
ACTPHY01,B1ZMST,A,1,0,0,ACT_Tax_7
ACTPHY01,B1ZNST,A,1,0,0,ACT_Tax_8
ACTPHY01,B1ZOST,A,1,0,0,ACT_Tax_9
ACTPHY01,B1ZPST,A,1,0,0,ACT_Tax_10
ACTPHY01,B1HWVA,P,5,9,2,ACT_Toll_Usage
ACTPHY01,B1ZQST,A,1,0,0,ACT_Toll_Restricted
ACTPHY01,B1ZRST,A,1,0,0,ACT_State_Program
ACTPHY01,B1EXSS,A,1,0,0,ACT_Directory_Exempt
ACTPHY01,B1EYSS,A,1,0,0,ACT_Disconnect_Exempt
ACTPHY01,B1EZSS,A,1,0,0,ACT_Local_Service_Exempt
ACTPHY01,B1E0SS,A,1,0,0,ACT_Neigh_Prev_Occup
ACTPHY01,B1X8TX,A,65,0,0,ACT_Neigh_Prev_Occur_Desc
ACTPHY01,B1M6NR,P,6,10,0,ACT_Appl_Number
ACTPHY01,B1TSCD,A,5,0,0,Community_Code
