File,ExternalFieldName,Type,Length,numdigits,decimals,name
TRMPHY01,FSDQNR,P,6,10,0,TRM_Number
TRMPHY01,FSEJCF,A,3,0,0,Area
TRMPHY01,FSEKCF,A,4,0,0,Site
TRMPHY01,FSYMCD,A,6,0,0,TRT_Type
TRMPHY01,FSNSCD,A,3,0,0,TRO_Trouble_Code
TRMPHY01,FSYLCD,A,2,0,0,TRS_Status
TRMPHY01,FSDRNR,P,6,10,0,TRM_Ticket_Number
TRMPHY01,FSDSNR,P,6,10,0,TRM_Irregular_Plant_Nbr
TRMPHY01,FSSWST,A,1,0,0,TRM_Regulated
TRMPHY01,FSSXST,A,1,0,0,TRM_Out_of_Service
TRMPHY01,FSDTNR,P,3,5,0,TRM_Credit_Given
TRMPHY01,FSQDTX,A,65,0,0,TRM_Reported_Name
TRMPHY01,FSSXTX,A,50,0,0,TRM_Trouble_Name
TRMPHY01,FSZECD,A,5,0,0,TRM_Phone_NPA
TRMPHY01,FSZFCD,A,3,0,0,TRM_Phone_Exchange
TRMPHY01,FSZGCD,A,4,0,0,TRM_Phone_Number
TRMPHY01,FSD5NR,P,6,10,0,TRM_CST_Number
TRMPHY01,FSQETX,A,65,0,0,TRM_Note
TRMPHY01,FSYKST,A,1,0,0,TRM_Maint
TRMPHY01,FSZHCD,A,10,0,0,TRM_Contact_Employee
TRMPHY01,FSSPDT,P,4,7,0,TRM_Contact_Date
TRMPHY01,FSA4TM,P,4,6,0,TRM_Contact_Time
TRMPHY01,FSSSDT,P,4,7,0,TRM_PSC_Obligation_Date
TRMPHY01,FSA7TM,P,4,6,0,TRM_PSC_Obligation_Time
TRMPHY01,FSZJCD,A,10,0,0,TRM_Complete_Employee
TRMPHY01,FSSNDT,P,4,7,0,TRM_Complete_Date
TRMPHY01,FSA2TM,P,4,6,0,TRM_Complete_Time
TRMPHY01,FSZKCD,A,10,0,0,TRM_Verify_Employee
TRMPHY01,FSSODT,P,4,7,0,TRM_Verify_Date
TRMPHY01,FSA3TM,P,4,6,0,TRM_Verify_Time
TRMPHY01,FSBTDF,P,4,7,0,TRB_Appointment_Date
TRMPHY01,FSAQTN,P,4,6,0,TRB_Appointment_Time
TRMPHY01,FSYJCD,A,6,0,0,TRM_Radio_Number
TRMPHY01,FSCBCF,A,3,0,0,TRM_Work_Group
TRMPHY01,FSD6NR,P,6,10,0,TRM_Header_Number
TRMPHY01,FSQFTX,A,65,0,0,TRM_Effected_Name
TRMPHY01,FSD7NR,P,6,10,0,TRM_Effected_Number
TRMPHY01,FSFDCE,A,4,0,0,SDO_Dispatch_Office_Code
TRMPHY01,FSZLCD,A,5,0,0,TRM_Effected_NPA
TRMPHY01,FSZMCD,A,3,0,0,TRM_Effected_Exchange
TRMPHY01,FSZNCD,A,4,0,0,TRM_Effected_Phone_Num
TRMPHY01,FSD8NR,P,6,10,0,TRM_House_Addr_Nbr
TRMPHY01,FSLEQN,P,6,10,0,LEQ_Number
TRMPHY01,FSCONR,P,3,5,0,LEQ_Seq_Number
TRMPHY01,FSOXCI,A,5,0,0,TEG_NPA
TRMPHY01,FSZPCD,A,3,0,0,TRM_Group_Exchange
TRMPHY01,FSZOCD,A,3,0,0,TRM_Exchange
TRMPHY01,FSVBCD,A,5,0,0,CMX_Community
TRMPHY01,FSG8CD,A,5,0,0,NPA
TRMPHY01,FSG9CD,A,3,0,0,NXX
TRMPHY01,FSNVCD,A,4,0,0,CO_ID
TRMPHY01,FSG7CD,A,10,0,0,Action_Create_User
TRMPHY01,FSAYDT,P,4,7,0,Action_Create_Date
TRMPHY01,FSAETM,P,4,6,0,Action_Create_Time
TRMPHY01,FSELCF,A,10,0,0,Action_Create_Program
TRMPHY01,FSH7ST,A,1,0,0,Action_Last
TRMPHY01,FSG6CD,A,10,0,0,Action_Last_User
TRMPHY01,FSAZDT,P,4,7,0,Action_Last_Date
TRMPHY01,FSAFTM,P,4,6,0,Action_Last_Time
TRMPHY01,FSEMCF,A,10,0,0,Action_Last_Program
TRMPHY01,FSFESR,A,1,0,0,Action_Purge_Flag
TCOPHY01,DTEKCF,A,4,0,0,BEN_Minor_Code
TCOPHY01,DTYMCD,A,6,0,0,TRT_Type
TCOPHY01,DTNSCD,A,3,0,0,TRO_Trouble_Code
TCOPHY01,DTHLTX,A,30,0,0,TRO_Trouble_Description
TCOPHY01,DTG7CD,A,10,0,0,Action_Create_User
TCOPHY01,DTAYDT,P,4,7,0,Action_Create_Date
TCOPHY01,DTAETM,P,4,6,0,Action_Create_Time
TCOPHY01,DTELCF,A,10,0,0,Action_Create_Program
TCOPHY01,DTH7ST,A,1,0,0,Action_Last
TCOPHY01,DTG6CD,A,10,0,0,Action_Last_User
TCOPHY01,DTAZDT,P,4,7,0,Action_Last_Date
TCOPHY01,DTAFTM,P,4,6,0,Action_Last_Time
TCOPHY01,DTEMCF,A,10,0,0,Action_Last_Program
TCOPHY01,DTFESR,A,1,0,0,Action_Purge_Flag
